,MOLECULE_CHEMBL_ID,MOLECULE_NAME,MOLECULE_TYPE,FIRST_APPROVAL,ATC_CODE,ATC_CODE_DESCRIPTION,USAN_STEM,MECHANISM_OF_ACTION,MECHANISM_COMMENT,SELECTIVITY_COMMENT,TARGET_CHEMBL_ID,TARGET_NAME,ACTION_TYPE,ORGANISM,TARGET_TYPE,SITE_NAME,BINDING_SITE_COMMENT,MECHANISM_REFS,CANONICAL_SMILES,chembl,hgnc_symbol
915,CHEMBL92,Docetaxel,Small molecule,1996.0,,,-taxel,Tubulin inhibitor,,,CHEMBL2095182,Tubulin,INHIBITOR,Homo sapiens,PROTEIN COMPLEX GROUP,Beta tubulin paclitaxel binding site,Binds to beta tubulin,"Name:FDA, SrcID:label/2014/201195s006lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/201195s006lbl.pdf|Name:DailyMed, SrcID:setid=b35e3633-8893-4b0b-af1e-92e342557199#section-14, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b35e3633-8893-4b0b-af1e-92e342557199#section-14|Name:Wikipedia, SrcID:Microtubule, URL:http://en.wikipedia.org/wiki/Microtubule",CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,CHEMBL2095182,TUBB2B
916,CHEMBL92,Docetaxel,Small molecule,1996.0,,,-taxel,Tubulin inhibitor,,,CHEMBL2095182,Tubulin,INHIBITOR,Homo sapiens,PROTEIN COMPLEX GROUP,Beta tubulin paclitaxel binding site,Binds to beta tubulin,"Name:FDA, SrcID:label/2014/201195s006lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/201195s006lbl.pdf|Name:DailyMed, SrcID:setid=b35e3633-8893-4b0b-af1e-92e342557199#section-14, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b35e3633-8893-4b0b-af1e-92e342557199#section-14|Name:Wikipedia, SrcID:Microtubule, URL:http://en.wikipedia.org/wiki/Microtubule",CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,CHEMBL2095182,TUBA3D
917,CHEMBL1208646,Theophylline Glycinate,Small molecule,1982.0,,,,Phosphodiesterase 3 inhibitor,,,CHEMBL2094125,Phosphodiesterase 3,INHIBITOR,Homo sapiens,PROTEIN FAMILY,,,"Name:DailyMed, SrcID:setid=25b2fdbe-2f18-4153-835a-7a67bff83ef8, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=25b2fdbe-2f18-4153-835a-7a67bff83ef8|Name:Wikipedia, SrcID:Theophylline#Mechanisms_of_action, URL:http://en.wikipedia.org/wiki/Theophylline#Mechanisms_of_action",CN1C(=O)N(C)c2nc[nH]c2C1=O.NCC(=O)O,,
918,CHEMBL531,Pergolide,Small molecule,1988.0,N04BC02,N04BC02 [NERVOUS SYSTEM: ANTI-PARKINSON DRUGS: DOPAMINERGIC AGENTS: Dopamine agonists],-erg-,Dopamine receptor agonist,,,CHEMBL2096905,Dopamine receptor,AGONIST,Homo sapiens,PROTEIN FAMILY,,,"Name:DailyMed, SrcID:setid=a26390e8-eb86-4623-8cdd-45b24b14df74#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a26390e8-eb86-4623-8cdd-45b24b14df74#nlm34090-1",CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34,,
919,CHEMBL1680,Octreotide,Protein,1988.0,H01CB02,"H01CB02 [SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS: PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES: HYPOTHALAMIC HORMONES: Somatostatin and analogues]",-tide,Somatostatin receptor agonist,Long acting,"Selectivity for types 2, 3 and 5",CHEMBL2111436,Somatostatin receptor,AGONIST,Homo sapiens,PROTEIN FAMILY,,,"Name:DailyMed, SrcID:setid=f278f0d8-4062-420a-97c3-3a8b88253a08#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f278f0d8-4062-420a-97c3-3a8b88253a08#nlm34090-1|Name:PubMed, SrcID:11931345, URL:http://europepmc.org/abstract/MED/11931345",C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](N)Cc2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@H](Cc4c[nH]c5ccccc45)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1,,
920,CHEMBL762,Oxymetazoline,Small molecule,1986.0,R01AB07; S01GA04; R01AA05,"R01AB07 [RESPIRATORY SYSTEM: NASAL PREPARATIONS: DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE: Sympathomimetics, combinations excl. corticosteroids]; S01GA04 [SENSORY ORGANS: OPHTHALMOLOGICALS: DECONGESTANTS AND ANTIALLERGICS: Sympathomimetics used as decongestants]; R01AA05 [RESPIRATORY SYSTEM: NASAL PREPARATIONS: DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE: Sympathomimetics, plain]",-azoline,Adrenergic receptor alpha agonist,"complex action type, partial agonist at alpha-2 receptors",,CHEMBL2095203,Adrenergic receptor alpha,AGONIST,Homo sapiens,PROTEIN FAMILY,,,"Name:PubMed, SrcID:20030735, URL:http://europepmc.org/abstract/MED/20030735|Name:PubMed, SrcID:23364786, URL:http://europepmc.org/abstract/MED/23364786|Name:ISBN, SrcID:9780702034718 PP. 186, URL:http://www.isbnsearch.org/isbn/9780702034718",Cc1cc(c(O)c(C)c1CC2=NCCN2)C(C)(C)C,,
921,CHEMBL1201168,Isocarboxazid,Small molecule,1959.0,N06AF01,"N06AF01 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Monoamine oxidase inhibitors, non-selective]",,Monoamine oxidase inhibitor,,,CHEMBL2095205,Monoamine oxidase,INHIBITOR,Homo sapiens,PROTEIN FAMILY,,,"Name:FDA, SrcID:label/2007/011961s039lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/011961s039lbl.pdf|Name:Wikipedia, SrcID:Monoamine_oxidase_inhibitor, URL:http://en.wikipedia.org/wiki/Monoamine_oxidase_inhibitor",Cc1onc(c1)C(=O)NNCc2ccccc2,,
922,CHEMBL636,Rivastigmine,Small molecule,2000.0,N06DA03,N06DA03 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTI-DEMENTIA DRUGS: Anticholinesterases],-stigmine,Cholinesterases; ACHE & BCHE inhibitor,,,CHEMBL2095233,Cholinesterases; ACHE & BCHE,INHIBITOR,Homo sapiens,SELECTIVITY GROUP,,,"Name:FDA, SrcID:label/2006/020823s016,021025s008lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/020823s016,021025s008lbl.pdf",CCN(C)C(=O)Oc1cccc(c1)[C@H](C)N(C)C,,
923,CHEMBL1201586,Palivizumab,Antibody,1998.0,J06BB16,J06BB16 [ANTIINFECTIVES FOR SYSTEMIC USE: IMMUNE SERA AND IMMUNOGLOBULINS: IMMUNOGLOBULINS: Specific immunoglobulins],-mab,Fusion glycoprotein F0 inhibitor,Pathogen target,,CHEMBL2364165,Fusion glycoprotein F0,INHIBITOR,Human respiratory syncytial virus,SINGLE PROTEIN,,,"Name:DailyMed, SrcID:setid=8e35c4c8-bf56-458f-a73c-8f5733829788, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8e35c4c8-bf56-458f-a73c-8f5733829788",,,
924,CHEMBL1323,Darunavir,Small molecule,2006.0,J05AE10,J05AE10 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIVIRALS FOR SYSTEMIC USE: DIRECT ACTING ANTIVIRALS: Protease inhibitors],-vir,Human immunodeficiency virus type 1 protease inhibitor,,,CHEMBL243,Human immunodeficiency virus type 1 protease,INHIBITOR,Human immunodeficiency virus 1,SINGLE PROTEIN,,,"Name:DailyMed, SrcID:setid=814301f9-c990-46a5-b481-2879a521a16f, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=814301f9-c990-46a5-b481-2879a521a16f",CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@H]3OCC[C@@H]23)S(=O)(=O)c4ccc(N)cc4,,
925,CHEMBL1449,Ticarcillin,Small molecule,1976.0,J01CA13,"J01CA13 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: BETA-LACTAM ANTIBACTERIALS, PENICILLINS: Penicillins with extended spectrum]",-cillin,Bacterial penicillin-binding protein inhibitor,,,CHEMBL2354204,Bacterial penicillin-binding protein,INHIBITOR,Bacteria,PROTEIN FAMILY,,,"Name:PubMed, SrcID:2387996, URL:http://europepmc.org/abstract/MED/2387996",CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,,
926,CHEMBL1435,Cefazolin,Small molecule,1973.0,J01DB04,J01DB04 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: OTHER BETA-LACTAM ANTIBACTERIALS: First-generation cephalosporins],cef-,Bacterial penicillin-binding protein inhibitor,,,CHEMBL2354204,Bacterial penicillin-binding protein,INHIBITOR,Bacteria,PROTEIN FAMILY,,,"Name:PubMed, SrcID:2722720, URL:http://europepmc.org/abstract/MED/2722720|Name:PubMed, SrcID:3266730, URL:http://europepmc.org/abstract/MED/3266730",Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C(=O)O)s1,,
927,CHEMBL1201281,Chloramphenicol Succinic Acid,Small molecule,1959.0,,,,Bacterial 70S ribosome inhibitor,,,CHEMBL2363135,Bacterial 70S ribosome,INHIBITOR,Bacteria,PROTEIN NUCLEIC-ACID COMPLEX,23S ribosomal RNA,23S RRNA,"Name:Wikipedia, SrcID:Chloramphenicol, URL:http://en.wikipedia.org/wiki/Chloramphenicol|Name:PubMed, SrcID:6375931, URL:http://europepmc.org/abstract/MED/6375931|Name:PubMed, SrcID:16091044, URL:http://europepmc.org/abstract/MED/16091044",O[C@@H]([C@@H](COC(=O)CCC(=O)O)NC(=O)C(Cl)Cl)c1ccc(cc1)[N+](=O)[O-],,
928,CHEMBL1201608,Muromonab-Cd3,Antibody,1986.0,L04AA02,L04AA02 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSUPPRESSANTS: IMMUNOSUPPRESSANTS: Selective immunosuppressants],-nab-,T cell surface glycoprotein CD3 inhibitor,,,CHEMBL2364168,T cell surface glycoprotein CD3,INHIBITOR,Homo sapiens,PROTEIN COMPLEX,CD3 epsilon subunit,Epsilon is binding site,"Name:PubMed, SrcID:15136729, URL:http://europepmc.org/abstract/MED/15136729|Name:DailyMed, SrcID:setid=2a1f1c18-fa95-45e6-bd00-ac53c73f4747, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2a1f1c18-fa95-45e6-bd00-ac53c73f4747",,CHEMBL2364168,CD3D
929,CHEMBL1201608,Muromonab-Cd3,Antibody,1986.0,L04AA02,L04AA02 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSUPPRESSANTS: IMMUNOSUPPRESSANTS: Selective immunosuppressants],-nab-,T cell surface glycoprotein CD3 inhibitor,,,CHEMBL2364168,T cell surface glycoprotein CD3,INHIBITOR,Homo sapiens,PROTEIN COMPLEX,CD3 epsilon subunit,Epsilon is binding site,"Name:PubMed, SrcID:15136729, URL:http://europepmc.org/abstract/MED/15136729|Name:DailyMed, SrcID:setid=2a1f1c18-fa95-45e6-bd00-ac53c73f4747, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2a1f1c18-fa95-45e6-bd00-ac53c73f4747",,CHEMBL2364168,CD3G
930,CHEMBL1201835,Ustekinumab,Antibody,2009.0,L04AC05,L04AC05 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSUPPRESSANTS: IMMUNOSUPPRESSANTS: Interleukin inhibitors],-mab,Interleukin-23 inhibitor,,,CHEMBL2364154,Interleukin-23,INHIBITOR,Homo sapiens,PROTEIN COMPLEX,Interleukin-23 beta subunit,Beta subunit is binding site,"Name:DailyMed, SrcID:setid=c77a9664-e3bb-4023-b400-127aa53bca2b, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c77a9664-e3bb-4023-b400-127aa53bca2b",,,
931,CHEMBL185,Fluorouracil,Small molecule,1962.0,L01BC52; L01BC02,L01BC52 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: ANTIMETABOLITES: Pyrimidine analogues]; L01BC02 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: ANTIMETABOLITES: Pyrimidine analogues],-uracil,DNA inhibitor,,,CHEMBL2311221,DNA,INHIBITOR,Homo sapiens,NUCLEIC-ACID,,,"Name:PubMed, SrcID:12724731, URL:http://europepmc.org/abstract/MED/12724731",FC1=CNC(=O)NC1=O,,
932,CHEMBL429,Labetalol,Small molecule,1984.0,C07AG01,C07AG01 [CARDIOVASCULAR SYSTEM: BETA BLOCKING AGENTS: BETA BLOCKING AGENTS: Alpha and beta blocking agents],-alol,Adrenergic receptor antagonist,,,CHEMBL2331074,Adrenergic receptor,ANTAGONIST,Homo sapiens,PROTEIN FAMILY,,,"Name:DailyMed, SrcID:setid=d8e0af49-8c2a-4ada-804f-17ce2abad15b, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d8e0af49-8c2a-4ada-804f-17ce2abad15b",CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(=O)N,,
933,CHEMBL1964120,Taliglucerase Alfa,Enzyme,2012.0,A16AB11,A16AB11 [ALIMENTARY TRACT AND METABOLISM: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: Enzymes],-ase,Glucocerebroside hydrolytic enzyme,Given in cases of gaucher disease to overcome a deficiency of beta-glucocerebrosidase activity. Imiglucerase catalyses the hydrolysis of glucocerebroside to glucose and ceramide,,CHEMBL2364176,Glucocerebroside,HYDROLYTIC ENZYME,Homo sapiens,SMALL MOLECULE,,,"Name:DailyMed, SrcID:setid=fa3cbd5d-677c-4b19-9032-d9182cb69a83, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fa3cbd5d-677c-4b19-9032-d9182cb69a83",,,
934,CHEMBL493982,Vorapaxar,Small molecule,2014.0,B01AC26,B01AC26 [BLOOD AND BLOOD FORMING ORGANS: ANTITHROMBOTIC AGENTS: ANTITHROMBOTIC AGENTS: Platelet aggregation inhibitors excl. heparin],-paxar,Proteinase-activated receptor 1 antagonist,,,CHEMBL3974,Proteinase-activated receptor 1,ANTAGONIST,Homo sapiens,SINGLE PROTEIN,,,"Name:FDA, SrcID:label/2014/204886s000lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/204886s000lbl.pdf",CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@@H]3[C@@H]([C@@H](C)OC3=O)[C@H]2\C=C\c4ccc(cn4)c5cccc(F)c5,CHEMBL3974,F2R
935,CHEMBL2219425,Aripiprazole Lauroxil,Unknown,2015.0,,,-prazole,Dopamine D2 receptor partial agonist,Prodrug of aripiprazole,,CHEMBL217,Dopamine D2 receptor,PARTIAL AGONIST,Homo sapiens,SINGLE PROTEIN,,,"Name:DailyMed, SrcID:setid=17a8d11b-73b0-4833-a0b4-cf1ef85edefb, URL:http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=17a8d11b-73b0-4833-a0b4-cf1ef85edefb",CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(CC3)c4cccc(Cl)c4Cl)cc12,CHEMBL217,DRD2
936,CHEMBL1738797,Alectinib,Small molecule,2015.0,L01XE36,L01XE36 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Protein kinase inhibitors],-tinib,Tyrosine-protein kinase receptor RET inhibitor,,,CHEMBL2041,Tyrosine-protein kinase receptor RET,INHIBITOR,Homo sapiens,SINGLE PROTEIN,,,"Name:FDA, SrcID:label/2015/208434s000lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/208434s000lbl.pdf",CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCC(CC5)N6CCOCC6,CHEMBL2041,RET
937,CHEMBL3545417,Glpg0492,Small molecule,,,,,Androgen Receptor modulator,selective androgen modulator (SARM),,CHEMBL1871,Androgen Receptor,MODULATOR,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:22957947, URL:http://europepmc.org/abstract/MED/22957947|Name:Other, SrcID:http://akashirx.com/pipeline/, URL:http://akashirx.com/pipeline/",,CHEMBL1871,AR
938,CHEMBL3545179,Azd-7451,Small molecule,,,,,Nerve growth factor receptor Trk-A inhibitor,,,CHEMBL2815,Nerve growth factor receptor Trk-A,INHIBITOR,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:25054037, URL:http://europepmc.org/abstract/MED/25054037|Name:PubMed, SrcID:23027130, URL:http://europepmc.org/abstract/MED/23027130",,CHEMBL2815,NTRK1
939,CHEMBL3544962,Ct-1578,Small molecule,,,,,Macrophage colony stimulating factor receptor inhibitor,,,CHEMBL1844,Macrophage colony stimulating factor receptor,INHIBITOR,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:22962687, URL:http://europepmc.org/abstract/MED/22962687",,CHEMBL1844,CSF1R
940,CHEMBL49120,Pd-0166285,Small molecule,,,,,Fibroblast growth factor receptor 1 inhibitor,Multi-targeted kinase irreversible inhibitor,,CHEMBL3650,Fibroblast growth factor receptor 1,INHIBITOR,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:10638483, URL:http://europepmc.org/abstract/MED/10638483",CCN(CC)CCOc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,CHEMBL3650,FGFR1
941,CHEMBL3545381,Plx-7486,Small molecule,,,,,NT-3 growth factor receptor inhibitor,,,CHEMBL5608,NT-3 growth factor receptor,INHIBITOR,Homo sapiens,SINGLE PROTEIN,,,"Name:Other, SrcID:http://www.ecmcnetwork.org.uk/sites/default/files/PLX7486%20Background%20for%20CRUK%20Combinations%20Alliance%20(Non-CI)%202015-10-08%20final.pdf, URL:http://www.ecmcnetwork.org.uk/sites/default/files/PLX7486%20Background%20for%20CRUK%20Combinations%20Alliance%20(Non-CI)%202015-10-08%20final.pdf",,CHEMBL5608,NTRK3
942,CHEMBL3545311,Brigatinib,Small molecule,,,,-tinib,Epidermal growth factor receptor erbB1 inhibitor,Inhibits ALK and EGFR gatekeeper mutants. Does not inhibit wild type (native) EGFR.,,CHEMBL203,Epidermal growth factor receptor erbB1,INHIBITOR,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:25888090, URL:http://europepmc.org/abstract/MED/25888090|Name:Other, SrcID:http://www.ariad.com/pdf/Rivera_2012_AACR_POSTER_AP26113_noQRcode.pdf, URL:http://www.ariad.com/pdf/Rivera_2012_AACR_POSTER_AP26113_noQRcode.pdf|Name:Other, SrcID:http://www.ariad.com/AP26113, URL:http://www.ariad.com/AP26113",COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,CHEMBL203,EGFR
943,CHEMBL495727,At-9283,Small molecule,,,,,Tyrosine-protein kinase ABL inhibitor,,,CHEMBL1862,Tyrosine-protein kinase ABL,INHIBITOR,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:19143567, URL:http://europepmc.org/abstract/MED/19143567",O=C(NC1CC1)Nc2c[nH]nc2c3nc4cc(CN5CCOCC5)ccc4[nH]3,CHEMBL1862,ABL1
944,CHEMBL607707,Pelitinib,Small molecule,,,,-tinib,Epidermal growth factor receptor erbB1 inhibitor,Irreversible inhibitor,,CHEMBL203,Epidermal growth factor receptor erbB1,INHIBITOR,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:12502359, URL:http://europepmc.org/abstract/MED/12502359|Name:PubMed, SrcID:15715478, URL:http://europepmc.org/abstract/MED/15715478",CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C,CHEMBL203,EGFR
945,CHEMBL3301610,Abemaciclib,Small molecule,,,,-ciclib,Cyclin-dependent kinase 4 inhibitor,,,CHEMBL331,Cyclin-dependent kinase 4,INHIBITOR,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:24919854, URL:http://europepmc.org/abstract/MED/24919854",CCN1CCN(Cc2ccc(Nc3ncc(F)c(n3)c4cc(F)c5nc(C)n(C(C)C)c5c4)nc2)CC1,CHEMBL331,CDK4
946,CHEMBL3545287,Ly2624803,Small molecule,,,,,Histamine H1 receptor antagonist,,,CHEMBL231,Histamine H1 receptor,ANTAGONIST,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:25423562, URL:http://europepmc.org/abstract/MED/25423562|Name:Other, SrcID:http://www.hra.nhs.uk/news/research-summaries/effect-of-activated-charcoal-dose-time-on-absorption-of-ly2624803/, URL:http://www.hra.nhs.uk/news/research-summaries/effect-of-activated-charcoal-dose-time-on-absorption-of-ly2624803/",,CHEMBL231,HRH1
947,CHEMBL3622820,Itacitinib,Small molecule,,,,-tinib,Tyrosine-protein kinase JAK1 inhibitor,The compound is thought to be JAK1 selective but no selectivity data available.,,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:24766055, URL:http://europepmc.org/abstract/MED/24766055|Name:PubMed, SrcID:24818516, URL:http://europepmc.org/abstract/MED/24818516",Fc1c(ccnc1C(F)(F)F)C(=O)N2CCC(CC2)N3CC(CC#N)(C3)n4cc(cn4)c5ncnc6[nH]ccc56,CHEMBL2835,JAK1
948,CHEMBL3545411,Mf101,Small molecule,,,,,Estrogen receptor beta agonist,"Herbal preparation, most active estrogenic compound in MF101 is the flavanone liquiritigenin which is a Erbeta selective agonist ( http://en.wikipedia.org/wiki/Liquiritigenin, PMC2277338)",,CHEMBL242,Estrogen receptor beta,AGONIST,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:22616988, URL:http://europepmc.org/abstract/MED/22616988|Name:Wikipedia, SrcID:Menerba, URL:http://en.wikipedia.org/wiki/Menerba",,CHEMBL242,ESR2
949,CHEMBL566315,Obeticholic Acid,Small molecule,2016.0,A05AA04,A05AA04 [ALIMENTARY TRACT AND METABOLISM: BILE AND LIVER THERAPY: BILE THERAPY: Bile acid preparations],,Bile acid receptor FXR agonist,,,CHEMBL2047,Bile acid receptor FXR,AGONIST,Homo sapiens,SINGLE PROTEIN,,,"Name:Other, SrcID:http://www.interceptpharma.com/research-development/pipeline/, URL:http://www.interceptpharma.com/research-development/pipeline/|Name:PubMed, SrcID:12166927, URL:http://europepmc.org/abstract/MED/12166927",CC[C@H]1[C@@H](O)[C@H]2[C@@H]3CC[C@H]([C@H](C)CCC(=O)O)[C@@]3(C)CC[C@@H]2[C@@]4(C)CC[C@@H](O)C[C@@H]14,CHEMBL2047,NR1H4
950,CHEMBL1762621,Bardoxolone Methyl,Small molecule,,,,-olone,Peroxisome proliferator-activated receptor gamma antagonist,"Ph3 study terminated, safety and efficacy to be re-evaluated in new Ph2 study in 2014/2015. Activates KEAP1-Nrf2 pathway (http://en.wikipedia.org/wiki/Bardoxolone_methyl, http://www.kyowa-kirin.com/news_releases/2014/e20140702_01.html)",,CHEMBL235,Peroxisome proliferator-activated receptor gamma,ANTAGONIST,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:11043571, URL:http://europepmc.org/abstract/MED/11043571|Name:PubMed, SrcID:3542979, URL:http://europepmc.org/abstract/MED/3542979",COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]3C(=O)C=C4[C@@](C)(CC[C@H]5C(C)(C)C(=O)C(=C[C@]45C)C#N)[C@]3(C)CC2,CHEMBL235,PPARG
951,CHEMBL1743080,Tigatuzumab,Antibody,,,,-mab,Tumor necrosis factor receptor superfamily member 10B agonist,"Mimics the natural receptor ligand TRAIL and binds to TRAIL-R2 (without crosslinking), activating signal transduction pathways that may result in tumor cell apoptosis and a reduction in tumor growth.",,CHEMBL1075153,Tumor necrosis factor receptor superfamily member 10B,AGONIST,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:18304965, URL:http://europepmc.org/abstract/MED/18304965|Name:PubMed, SrcID:20187792, URL:http://europepmc.org/abstract/MED/20187792",,CHEMBL1075153,TNFRSF10B
952,CHEMBL2028665,Remogliflozin Etabonate,Small molecule,,,,-gliflozin,Sodium/glucose cotransporter 2 inhibitor,,,CHEMBL3884,Sodium/glucose cotransporter 2,INHIBITOR,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:18583547, URL:http://europepmc.org/abstract/MED/18583547",CCOC(=O)OC[C@H]1O[C@@H](Oc2nn(C(C)C)c(C)c2Cc3ccc(OC(C)C)cc3)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL3884,SLC5A2
953,CHEMBL3039529,Tirasemtiv,Small molecule,,,,,Fast skeletal troponin complex activator,,,CHEMBL3831282,Fast skeletal troponin complex,ACTIVATOR,Homo sapiens,PROTEIN COMPLEX,,,"Name:PubMed, SrcID:22344294, URL:http://europepmc.org/abstract/MED/22344294",CCC(CC)n1c(O)nc2ncc(nc12)C#C,CHEMBL3831282,TNNC2
954,CHEMBL3039529,Tirasemtiv,Small molecule,,,,,Fast skeletal troponin complex activator,,,CHEMBL3831282,Fast skeletal troponin complex,ACTIVATOR,Homo sapiens,PROTEIN COMPLEX,,,"Name:PubMed, SrcID:22344294, URL:http://europepmc.org/abstract/MED/22344294",CCC(CC)n1c(O)nc2ncc(nc12)C#C,CHEMBL3831282,TNNI2
955,CHEMBL3039529,Tirasemtiv,Small molecule,,,,,Fast skeletal troponin complex activator,,,CHEMBL3831282,Fast skeletal troponin complex,ACTIVATOR,Homo sapiens,PROTEIN COMPLEX,,,"Name:PubMed, SrcID:22344294, URL:http://europepmc.org/abstract/MED/22344294",CCC(CC)n1c(O)nc2ncc(nc12)C#C,CHEMBL3831282,TNNT3
